miRNA,Type,T1,T2,T3,C1,C2,C3
mmu-miR-323-3p,Target,19.7067,19.4597,20.0005,19.6785,19.5547,21.3096
mmu-miR-324-3p,Target,35,35,35,35,35,35
mmu-miR-324-5p,Target,23.4335,23.6891,24.6443,24.7408,23.727,24.9693
mmu-miR-325,Target,35,35,35,35,35,35
mmu-miR-326,Target,35,35,35,35,35,35
mmu-miR-327,Target,35,35,35,35,35,35
mmu-miR-328,Target,19.0597,19.2976,19.8708,20.5015,19.2313,19.9627
mmu-miR-329,Target,35,35,35,35,35,35
mmu-miR-330,Target,35,35,35,35,35,35
mmu-miR-330-5p,Target,28.9172,29.3766,29.9406,29.6024,29.1485,30.2506
mmu-miR-331,Target,18.3673,18.0359,18.9071,18.7365,18.4651,18.5769
mmu-miR-331-5p,Target,25.6372,25.2858,26.1442,25.2692,25.5067,25.8971
mmu-miR-335,Target,20.9624,20.5125,21.9095,21.6038,20.9857,22.6861
mmu-miR-335#,Target,35,35,35,35,35,35
mmu-miR-337,Target,35,35,35,35,35,35
mmu-miR-337-3p,Target,35,35,35,35,35,35
mmu-miR-337-5p,Target,35,35,35,35,35,35
mmu-miR-338,Target,35,35,35,35,35,35
mmu-miR-338-3p,Target,27.9646,28.1347,29.3389,28.7285,28.2729,28.9645
mmu-miR-338-5P,Target,25.9178,26.2183,25.7468,25.1927,25.8824,26.7979
mmu-miR-339-3p,Target,35,35,35,35,35,35
mmu-miR-339-5p,Target,24.8643,24.8663,26.0156,25.8671,25.1474,25.7734
mmu-miR-33a#,Target,27.0383,27.9835,27.5785,26.5763,27.6724,27.5357
mmu-miR-340,Target,28.4801,28.295,29.0815,28.8461,28.6041,28.8098
mmu-miR-340#,Target,35,35,35,35,35,35
mmu-miR-342-3p,Target,17.2766,16.5106,17.4853,16.9034,17.7648,17.9747
mmu-miR-342-5p,Target,35,35,35,35,35,35
mmu-miR-343,Target,35,35,35,35,35,35
mmu-miR-344,Target,35,35,35,35,35,35
mmu-miR-345,Target,35,35,35,35,35,35
mmu-miR-345-3p,Target,35,35,35,35,35,35
mmu-miR-345-5p,Target,35,35,35,35,35,35
mmu-miR-346,Target,35,35,35,35,35,35
mmu-miR-34a,Target,26.0949,25.9835,26.4427,26.8535,26.0206,26.9532
mmu-miR-34b,Target,35,35,35,35,35,35
mmu-miR-34b-3p,Target,22.6174,21.6732,21.959,20.9973,20.8843,21.4709
